mirror_config,target_name,model_name,accuracy,roc_auc,f1_score
undersampling_tomek,Over 2.5 Goals,Random Forest,0.5446808510638298,0.549118857359453,0.5633433026987266
undersampling_tomek,Over 2.5 Goals,HistGradientBoosting (Early Stopping),0.5294326241134751,0.5422020052751522,0.5342722303302961
undersampling_tomek,Over 2.5 Goals,XGBoost (L1/L2 Regularized),0.5333333333333334,0.5341710439117532,0.5692005720975493
undersampling_tomek,Over 2.5 Goals,Neural Network (Dropout),0.525177304964539,0.5369280647483461,0.5763361418832055
undersampling_tomek,Under 2.5 Goals,Logistic Regression (Elastic Net),0.5379432624113475,0.5572697654474222,0.5001089647870555
undersampling_tomek,Under 2.5 Goals,Random Forest,0.5354609929078015,0.5474495406835777,0.4941003102477607
undersampling_tomek,Under 2.5 Goals,HistGradientBoosting (Early Stopping),0.5120567375886524,0.5396520767638604,0.5183350618470921
undersampling_tomek,Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5333333333333334,0.5341710439117533,0.480273396279182
undersampling_tomek,Under 2.5 Goals,Neural Network (Dropout),0.5209219858156027,0.5346607953135406,0.5043699708342728
undersampling_tomek,BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.4914893617021277,0.5050766334809927,0.3845784881978558
undersampling_tomek,BTTS (Both Teams To Score),Random Forest,0.4893617021276595,0.506633363430056,0.4173142672715535
undersampling_tomek,BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.4705673758865248,0.5191643494550426,0.0431260381901583
undersampling_tomek,BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5099290780141843,0.5089171624659232,0.5037156380727408
undersampling_tomek,BTTS (Both Teams To Score),Neural Network (Dropout),0.4960992907801419,0.5106942568297611,0.4264644102295988
undersampling_tomek,BTTS - No,Logistic Regression (Elastic Net),0.4914893617021277,0.5050766334809927,0.5530052123665898
undersampling_tomek,BTTS - No,Random Forest,0.4950354609929078,0.5076712172254,0.5436996521331618
undersampling_tomek,BTTS - No,HistGradientBoosting (Early Stopping),0.4645390070921985,0.5040169225794756,0.6088840738024187
undersampling_tomek,BTTS - No,XGBoost (L1/L2 Regularized),0.5099290780141843,0.5089171624659232,0.5086258560618271
undersampling_tomek,BTTS - No,Neural Network (Dropout),0.4925531914893617,0.5053723260406777,0.5431998841855863
undersampling_tomek,Home Clean Sheet,Logistic Regression (Elastic Net),0.6836879432624114,0.6108972488002775,0.252263544119102
undersampling_tomek,Home Clean Sheet,Random Forest,0.6943262411347517,0.5997079189753667,0.2513498272126936
undersampling_tomek,Home Clean Sheet,HistGradientBoosting (Early Stopping),0.6932624113475176,0.6007209284761452,0.1357841721628505
undersampling_tomek,Home Clean Sheet,XGBoost (L1/L2 Regularized),0.6801418439716312,0.5956583254065448,0.2800005738751741
undersampling_tomek,Home Clean Sheet,Neural Network (Dropout),0.6375886524822695,0.5862542412655752,0.3360042274004335
undersampling_centroids,1X2 (Match Winner),Logistic Regression (Elastic Net),0.4893617021276595,0.0,0.4879450770115927
undersampling_centroids,1X2 (Match Winner),Random Forest,0.476595744680851,0.0,0.4782065205113276
undersampling_centroids,1X2 (Match Winner),HistGradientBoosting (Early Stopping),0.4425531914893617,0.0,0.4461722648240562
undersampling_centroids,1X2 (Match Winner),XGBoost (L1/L2 Regularized),0.4542553191489362,0.0,0.4614575996739171
undersampling_centroids,1X2 (Match Winner),Neural Network (Dropout),0.4393617021276595,0.0,0.4417109778017899
undersampling_centroids,Double Chance 1X (Home or Draw),Logistic Regression (Elastic Net),0.6606382978723404,0.7115738175891222,0.7341448667832446
undersampling_centroids,Double Chance 1X (Home or Draw),Random Forest,0.6464539007092199,0.6908782697810896,0.7134596747565797
undersampling_centroids,Double Chance 1X (Home or Draw),HistGradientBoosting (Early Stopping),0.6418439716312057,0.6795576416077872,0.7091123926397184
